Time_Step,Z17.5_Concentration,Z2.5_Concentration
707,0.05,0.13
708,0.0425,0.13
709,0.045,0.125
710,0.0625,0.125
711,0.08,0.1
712,0.06,0.13
713,0.0325,0.145
714,0.0675,0.1675
715,0.04,0.1425
716,0.055,0.1575
717,0.06,0.1025
718,0.0925,0.1275
719,0.0625,0.1275
720,0.07,0.1225
721,0.055,0.1125
722,0.0625,0.1275
723,0.05,0.145
724,0.0325,0.14
725,0.0525,0.1325
726,0.0425,0.1225
727,0.0575,0.125
728,0.0425,0.1225
729,0.0625,0.1325
730,0.07,0.145
731,0.0575,0.125
732,0.0525,0.1325
733,0.05,0.1375
734,0.0725,0.14
735,0.05,0.1325
736,0.0575,0.135
737,0.06,0.125
738,0.0725,0.1525
739,0.08,0.1725
740,0.055,0.145
741,0.045,0.16
742,0.05,0.15
743,0.0525,0.175
744,0.05,0.12
745,0.045,0.1275
746,0.04,0.155
747,0.06,0.1425
748,0.0425,0.1475
749,0.0475,0.1375
750,0.05,0.1475
751,0.055,0.1725
752,0.055,0.145
753,0.0825,0.15
754,0.0525,0.1425
755,0.0475,0.155
756,0.035,0.17
757,0.0325,0.1625
758,0.045,0.185
759,0.055,0.175
760,0.0525,0.15
761,0.05,0.1425
762,0.0275,0.14
763,0.0625,0.16
764,0.065,0.17
765,0.04,0.18
766,0.04,0.175
767,0.035,0.175
768,0.065,0.1725
769,0.0525,0.175
770,0.04,0.1675
771,0.0625,0.1525
772,0.0525,0.12
773,0.0625,0.145
774,0.0425,0.13
775,0.05,0.1325
776,0.055,0.1675
777,0.08,0.185
778,0.065,0.15
779,0.03,0.155
780,0.06,0.1625
781,0.0375,0.1675
782,0.0475,0.1625
783,0.05,0.125
784,0.0375,0.1225
785,0.035,0.1625
786,0.0575,0.1375
787,0.07,0.1425
788,0.0625,0.1275
789,0.0525,0.1525
790,0.045,0.1525
791,0.05,0.1675
792,0.0475,0.1825
793,0.05,0.1725
794,0.05,0.1625
795,0.0575,0.135
796,0.06,0.1725
797,0.0725,0.1425
798,0.0575,0.18
799,0.045,0.15
800,0.055,0.1375
801,0.035,0.135
802,0.0525,0.19
803,0.045,0.15
804,0.065,0.1275
805,0.0675,0.15
806,0.055,0.1625
807,0.035,0.1525
808,0.05,0.135
809,0.0525,0.15
810,0.05,0.12
811,0.0525,0.1525
812,0.065,0.165
813,0.085,0.16
814,0.0725,0.17
815,0.0625,0.145
816,0.075,0.16
817,0.0475,0.125
818,0.07,0.135
